,time,duration,price,date,origination,destination
0,   7:00 AM   –   8:21 AM   ,1h 21m,      $209   ,10-20-2019,Boston,Philadelphia
0,   7:44 AM   –   9:02 AM   ,1h 18m,      $214   ,10-20-2019,Boston,Philadelphia
0,   6:17 PM   –   8:00 PM   ,1h 43m,      $214   ,10-20-2019,Boston,Philadelphia
0,   6:55 PM   –   8:29 PM   ,1h 34m,      $209   ,10-20-2019,Boston,Philadelphia
0,   9:10 PM   –   10:31 PM   ,1h 21m,      $209   ,10-20-2019,Boston,Philadelphia
0,   6:00 AM   –   7:21 AM   ,1h 21m,      $214   ,10-20-2019,Boston,Philadelphia
0,   9:05 PM   –   10:35 PM   ,1h 30m,      $214   ,10-20-2019,Boston,Philadelphia
0,   3:26 PM   –   4:58 PM   ,1h 32m,      $229   ,10-20-2019,Boston,Philadelphia
0,   6:20 PM   –   8:00 PM   ,1h 40m,      $229   ,10-20-2019,Boston,Philadelphia
0,   12:51 PM   –   2:15 PM   ,1h 24m,      $244   ,10-20-2019,Boston,Philadelphia
0,   11:51 AM   –   1:27 PM   ,1h 36m,      $269   ,10-20-2019,Boston,Philadelphia
0,   9:15 PM   –   10:52 PM   ,1h 37m,      $269   ,10-20-2019,Boston,Philadelphia
0,   2:56 PM   –   4:20 PM   ,1h 24m,      $274   ,10-20-2019,Boston,Philadelphia
0,   4:55 PM   –   6:22 PM   ,1h 27m,      $274   ,10-20-2019,Boston,Philadelphia
0,   10:53 AM   –   12:14 PM   ,1h 21m,      $292   ,10-20-2019,Boston,Philadelphia
0,   1:02 PM   –   2:39 PM   ,1h 37m,      $314   ,10-20-2019,Boston,Philadelphia
0,   3:21 PM   –   4:56 PM   ,1h 35m,      $314   ,10-20-2019,Boston,Philadelphia
0,   2:29 PM   –   3:51 PM   ,1h 22m,      $324   ,10-20-2019,Boston,Philadelphia
0,   5:30 PM   –   6:57 PM   ,1h 27m,      $324   ,10-20-2019,Boston,Philadelphia
0,   8:45 AM   –   10:21 AM   ,1h 36m,      $909   ,10-20-2019,Boston,Philadelphia
0,   9:34 AM   –   11:00 AM   ,1h 26m,      $909   ,10-20-2019,Boston,Philadelphia
