,time,duration,price,date,origination,destination
0,   8:21 AM   –   9:59 AM   ,1h 38m,      $144   ,10-27-2019,Boston,Philadelphia
0,   5:00 AM   –   6:37 AM   ,1h 37m,      $149   ,10-27-2019,Boston,Philadelphia
0,   7:38 AM   –   9:19 AM   ,1h 41m,      $149   ,10-27-2019,Boston,Philadelphia
0,   8:08 AM   –   9:50 AM   ,1h 42m,      $149   ,10-27-2019,Boston,Philadelphia
0,   10:09 AM   –   11:44 AM   ,1h 35m,      $149   ,10-27-2019,Boston,Philadelphia
0,   5:00 AM   –   12:57 PM   ,7h 57m,   $178   ,10-27-2019,Boston,Philadelphia
0,   10:45 AM   –   12:26 PM   ,1h 41m,      $184   ,10-27-2019,Boston,Philadelphia
0,   5:36 PM   –   7:16 PM   ,1h 40m,      $189   ,10-27-2019,Boston,Philadelphia
0,   6:39 PM   –   8:20 PM   ,1h 41m,      $189   ,10-27-2019,Boston,Philadelphia
0,   9:38 PM   –   11:15 PM   ,1h 37m,      $189   ,10-27-2019,Boston,Philadelphia
0,   11:06 AM   –   12:39 PM   ,1h 33m,      $194   ,10-27-2019,Boston,Philadelphia
0,   4:54 PM   –   6:40 PM   ,1h 46m,      $194   ,10-27-2019,Boston,Philadelphia
0,   5:50 PM   –   7:41 PM   ,1h 51m,      $194   ,10-27-2019,Boston,Philadelphia
0,   7:12 PM   –   8:59 PM   ,1h 47m,      $194   ,10-27-2019,Boston,Philadelphia
0,   7:47 PM   –   9:34 PM   ,1h 47m,      $194   ,10-27-2019,Boston,Philadelphia
0,   2:10 PM   –   3:47 PM   ,1h 37m,      $209   ,10-27-2019,Boston,Philadelphia
0,   6:55 PM   –   8:44 PM   ,1h 49m,      $219   ,10-27-2019,Boston,Philadelphia
0,   12:33 PM   –   2:09 PM   ,1h 36m,      $244   ,10-27-2019,Boston,Philadelphia
0,   3:54 PM   –   5:42 PM   ,1h 48m,      $314   ,10-27-2019,Boston,Philadelphia
