duration,price,date,origination,destination,depart,arrive,mode
6h 21m,$138.00,11-03-2019,Boston,Philadelphia,1:10 PM,7:31 PM,train
6h 11m,$138.00,11-03-2019,Boston,Philadelphia,6:25 PM,12:36 AM,train
5h 59m,$138.00,11-03-2019,Boston,Philadelphia,9:35 AM,3:34 PM,train
5h 16m,$177.00,11-03-2019,Boston,Philadelphia,11:55 AM,5:11 PM,train
6h 7m,$138.00,11-03-2019,Boston,Philadelphia,8:40 AM,2:47 PM,train
6h 8m,$138.00,11-03-2019,Boston,Philadelphia,5:25 PM,11:33 PM,train
6h 18m,$138.00,11-03-2019,Boston,Philadelphia,12:16 PM,6:34 PM,train
5h 18m,$177.00,11-03-2019,Boston,Philadelphia,12:55 PM,6:13 PM,train
5h 56m,$138.00,11-03-2019,Boston,Philadelphia,6:35 AM,12:31 PM,train
6h 31m,$138.00,11-03-2019,Boston,Philadelphia,3:05 PM,9:36 PM,train
6h 16m,$138.00,11-03-2019,Boston,Philadelphia,1:15 PM,7:31 PM,train
5h 12m,$177.00,11-03-2019,Boston,Philadelphia,3:00 PM,8:12 PM,train
6h 6m,$138.00,11-03-2019,Boston,Philadelphia,6:30 PM,12:36 AM,train
6h 3m,$138.00,11-03-2019,Boston,Philadelphia,5:30 PM,11:33 PM,train
6h 25m,$138.00,11-03-2019,Boston,Philadelphia,3:11 PM,9:36 PM,train
5h 6m,$177.00,11-03-2019,Boston,Philadelphia,3:06 PM,8:12 PM,train
5h 13m,$177.00,11-03-2019,Boston,Philadelphia,4:56 PM,10:09 PM,train
5h 11m,$177.00,11-03-2019,Boston,Philadelphia,12:00 PM,5:11 PM,train
5h 12m,$177.00,11-03-2019,Boston,Philadelphia,1:01 PM,6:13 PM,train
5h 19m,$177.00,11-03-2019,Boston,Philadelphia,4:50 PM,10:09 PM,train
5h 12m,$208.00,11-03-2019,Boston,Philadelphia,11:00 AM,4:12 PM,train
5h 7m,$208.00,11-03-2019,Boston,Philadelphia,11:05 AM,4:12 PM,train
7h 0m,$34.99,10-17-2019,Philadelphia,Boston,11:50 PM,6:50 AM,bus
6h 30m,$25.00,10-17-2019,Philadelphia,Boston,4:15 PM,10:45 PM,bus
7h 5m,$31.00,10-17-2019,Philadelphia,Boston,7:15 AM,2:20 PM,bus
6h 1m,$106.00,10-17-2019,Philadelphia,Boston,10:40 AM,4:41 PM,train
6h 18m,$106.00,10-17-2019,Philadelphia,Boston,5:14 AM,11:32 AM,train
6h 8m,$106.00,10-17-2019,Philadelphia,Boston,5:14 AM,11:22 AM,train
5h 18m,$305.00,10-17-2019,Philadelphia,Boston,4:36 PM,9:54 PM,train
6h 11m,$106.00,10-17-2019,Philadelphia,Boston,10:40 AM,4:51 PM,train
5h 58m,$138.00,10-17-2019,Philadelphia,Boston,6:54 AM,12:52 PM,train
6h 14m,$138.00,10-17-2019,Philadelphia,Boston,6:54 AM,1:08 PM,train
5h 6m,$305.00,10-17-2019,Philadelphia,Boston,4:36 PM,9:42 PM,train
6h 6m,$138.00,10-17-2019,Philadelphia,Boston,6:46 AM,12:52 PM,train
6h 22m,$138.00,10-17-2019,Philadelphia,Boston,6:46 AM,1:08 PM,train
