,time,duration,price,date,origination,destination
0,   8:48 AM   –   5:44 PM   ,8h 56m,   $122   ,10-31-2019,Philadelphia,DC
0,   8:00 AM   –   4:20 PM   ,8h 20m,   $128   ,10-31-2019,Philadelphia,DC
0,   6:21 AM   –   2:57 PM   ,8h 36m,   $171   ,10-31-2019,Philadelphia,DC
0,   9:34 AM   –   1:11 PM   ,3h 37m,      $186   ,10-31-2019,Philadelphia,DC
0,   4:27 PM   –   4:20 PM+1   ,23h 53m,   $134   ,10-31-2019,Philadelphia,DC
0,   6:30 AM   –   2:31 PM   ,8h 1m,   $152   ,10-31-2019,Philadelphia,DC
0,   7:00 AM   –   3:19 PM   ,8h 19m,   $166   ,10-31-2019,Philadelphia,DC
0,   10:34 AM   –   2:20 PM   ,3h 46m,      $186   ,10-31-2019,Philadelphia,DC
0,   4:50 PM   –   11:04 PM   ,6h 14m,   $196   ,10-31-2019,Philadelphia,DC
0,   10:34 AM   –   2:19 PM   ,3h 45m,      $206   ,10-31-2019,Philadelphia,DC
0,   1:24 PM   –   6:59 PM   ,5h 35m,      $206   ,10-31-2019,Philadelphia,DC
0,   2:49 PM   –   6:59 PM   ,4h 10m,      $216   ,10-31-2019,Philadelphia,DC
0,   7:00 AM   –   10:41 AM   ,3h 41m,      $226   ,10-31-2019,Philadelphia,DC
0,   1:24 PM   –   5:58 PM   ,4h 34m,      $226   ,10-31-2019,Philadelphia,DC
0,   6:00 AM   –   10:41 AM   ,4h 41m,      $231   ,10-31-2019,Philadelphia,DC
0,   9:34 AM   –   1:37 PM   ,4h 3m,      $231   ,10-31-2019,Philadelphia,DC
0,   10:35 AM   –   2:40 PM   ,4h 5m,      $231   ,10-31-2019,Philadelphia,DC
0,   2:29 PM   –   6:48 PM   ,4h 19m,      $231   ,10-31-2019,Philadelphia,DC
0,   7:56 PM   –   11:59 PM   ,4h 3m,      $236   ,10-31-2019,Philadelphia,DC
