,time,duration,price,date,origination,destination
0,   8:48 AM   –   5:44 PM   ,8h 56m,   $154   ,10-24-2019,Philadelphia,DC
0,   6:30 AM   –   2:31 PM   ,8h 1m,   $177   ,10-24-2019,Philadelphia,DC
0,   8:38 AM   –   12:37 PM   ,3h 59m,      $259   ,10-24-2019,Philadelphia,DC
0,   4:50 PM   –   5:41 PM   ,51m,      $390   ,10-24-2019,Philadelphia,DC
0,   4:50 PM   –   11:04 PM   ,6h 14m,   $211   ,10-24-2019,Philadelphia,DC
0,   8:00 AM   –   4:20 PM   ,8h 20m,   $222   ,10-24-2019,Philadelphia,DC
0,   10:53 AM   –   3:08 PM   ,4h 15m,      $259   ,10-24-2019,Philadelphia,DC
0,   7:00 AM   –   10:41 AM   ,3h 41m,      $276   ,10-24-2019,Philadelphia,DC
0,   12:51 PM   –   4:43 PM   ,3h 52m,      $276   ,10-24-2019,Philadelphia,DC
0,   9:34 AM   –   1:37 PM   ,4h 3m,      $286   ,10-24-2019,Philadelphia,DC
0,   10:35 AM   –   2:40 PM   ,4h 5m,      $286   ,10-24-2019,Philadelphia,DC
0,   3:58 PM   –   8:00 PM   ,4h 2m,      $295   ,10-24-2019,Philadelphia,DC
0,   5:57 PM   –   9:58 PM   ,4h 1m,      $295   ,10-24-2019,Philadelphia,DC
0,   7:59 AM   –   8:55 AM   ,56m,      $390   ,10-24-2019,Philadelphia,DC
0,   12:25 PM   –   1:18 PM   ,53m,      $390   ,10-24-2019,Philadelphia,DC
0,   1:20 PM   –   2:17 PM   ,57m,      $390   ,10-24-2019,Philadelphia,DC
0,   5:50 PM   –   6:46 PM   ,56m,      $390   ,10-24-2019,Philadelphia,DC
0,   9:45 PM   –   10:41 PM   ,56m,      $390   ,10-24-2019,Philadelphia,DC
0,   8:35 AM   –   12:17 PM   ,3h 42m,      $391   ,10-24-2019,Philadelphia,DC
0,   6:43 AM   –   7:38 AM   ,55m,      $408   ,10-24-2019,Philadelphia,DC
0,   5:46 PM   –   6:58 PM   ,1h 12m,      $408   ,10-24-2019,Philadelphia,DC
0,   9:10 PM   –   10:15 PM   ,1h 5m,      $408   ,10-24-2019,Philadelphia,DC
