,time,duration,price,date,origination,destination
0,   7:59 AM   –   8:55 AM   ,56m,      $390   ,10-17-2019,Philadelphia,DC
0,   12:25 PM   –   1:18 PM   ,53m,      $390   ,10-17-2019,Philadelphia,DC
0,   4:50 PM   –   5:41 PM   ,51m,      $390   ,10-17-2019,Philadelphia,DC
0,   5:50 PM   –   6:46 PM   ,56m,      $390   ,10-17-2019,Philadelphia,DC
0,   9:45 PM   –   10:41 PM   ,56m,      $390   ,10-17-2019,Philadelphia,DC
0,   8:48 AM   –   5:44 PM   ,8h 56m,   $282   ,10-17-2019,Philadelphia,DC
0,   6:00 AM   –   1:20 PM   ,7h 20m,      $344   ,10-17-2019,Philadelphia,DC
0,   5:09 AM   –   4:19 PM   ,11h 10m,      $385   ,10-17-2019,Philadelphia,DC
0,   1:20 PM   –   2:17 PM   ,57m,      $390   ,10-17-2019,Philadelphia,DC
0,   5:57 PM   –   9:58 PM   ,4h 1m,      $395   ,10-17-2019,Philadelphia,DC
0,   6:43 AM   –   7:38 AM   ,55m,      $408   ,10-17-2019,Philadelphia,DC
0,   5:46 PM   –   6:58 PM   ,1h 12m,      $408   ,10-17-2019,Philadelphia,DC
0,   9:10 PM   –   10:15 PM   ,1h 5m,      $408   ,10-17-2019,Philadelphia,DC
0,   7:00 AM   –   10:41 AM   ,3h 41m,      $448   ,10-17-2019,Philadelphia,DC
0,   8:35 AM   –   12:17 PM   ,3h 42m,      $499   ,10-17-2019,Philadelphia,DC
