,depart,arrive,duration,price,carrier,date,origination,destination
0,10:30 AM,1:30 PM,3h 0m,$5.00,Megabus,10-24-2019,Philadelphia,DC
0,5:35 PM,8:40 PM,3h 5m,$5.00,Megabus,10-24-2019,Philadelphia,DC
0,12:00 PM,3:05 PM,3h 5m,$5.00,Megabus,10-24-2019,Philadelphia,DC
0,2:45 PM,5:40 PM,2h 55m,$14.00,Peter Pan Lines,10-24-2019,Philadelphia,DC
0,5:05 PM,7:07 PM,2h 2m,$56.00,Amtrak Northeast Regional,10-24-2019,Philadelphia,DC
0,1:40 PM,5:10 PM,3h 30m,$5.00,Megabus,10-24-2019,Philadelphia,DC
0,3:25 PM,6:55 PM,3h 30m,$5.00,Megabus,10-24-2019,Philadelphia,DC
0,10:25 PM,"1:20 AM+1Arrives Fri, Oct 25, 2019",2h 55m,$5.00,Megabus,10-24-2019,Philadelphia,DC
0,7:15 AM,10:10 AM,2h 55m,$14.00,Peter Pan Lines,10-24-2019,Philadelphia,DC
0,4:31 PM,6:30 PM,1h 59m,$56.00,Amtrak Northeast Regional,10-24-2019,Philadelphia,DC
0,5:45 AM,9:25 AM,3h 40m,$5.00,Megabus,10-24-2019,Philadelphia,DC
0,9:15 AM,12:10 PM,2h 55m,$14.00,Peter Pan Lines,10-24-2019,Philadelphia,DC
0,6:15 AM,9:30 AM,3h 15m,$10.00,Megabus,10-24-2019,Philadelphia,DC
0,5:45 PM,8:40 PM,2h 55m,$14.00,Peter Pan Lines,10-24-2019,Philadelphia,DC
0,5:35 PM,7:30 PM,1h 55m,$56.00,Amtrak Northeast Regional,10-24-2019,Philadelphia,DC
0,8:00 PM,11:10 PM,3h 10m,$14.00,Greyhound,10-24-2019,Philadelphia,DC
0,10:05 AM,1:35 PM,3h 30m,$14.00,Greyhound,10-24-2019,Philadelphia,DC
0,11:30 AM,3:00 PM,3h 30m,$14.00,Greyhound,10-24-2019,Philadelphia,DC
0,4:15 AM,7:30 AM,3h 15m,$19.99,Megabus,10-24-2019,Philadelphia,DC
0,4:54 PM,6:50 PM,1h 56m,$99.00,Amtrak Silver Service,10-24-2019,Philadelphia,DC
0,7:30 AM,11:00 AM,3h 30m,$14.00,Greyhound,10-24-2019,Philadelphia,DC
0,1:05 PM,4:45 PM,3h 40m,$14.00,Greyhound,10-24-2019,Philadelphia,DC
0,9:30 AM,1:05 PM,3h 35m,$14.00,Greyhound,10-24-2019,Philadelphia,DC
0,2:15 AM,5:30 AM,3h 15m,$19.99,Megabus,10-24-2019,Philadelphia,DC
0,6:14 PM,8:13 PM,1h 59m,$56.00,Amtrak Northeast Regional,10-24-2019,Philadelphia,DC
0,3:00 PM,6:50 PM,3h 50m,$14.00,Greyhound,10-24-2019,Philadelphia,DC
0,9:50 PM,"1:35 AM+1Arrives Fri, Oct 25, 2019",3h 45m,$14.00,Greyhound,10-24-2019,Philadelphia,DC
0,6:45 AM,10:05 AM,3h 20m,$25.00,Megabus,10-24-2019,Philadelphia,DC
0,3:45 PM,7:55 PM,4h 10m,$14.00,Greyhound,10-24-2019,Philadelphia,DC
0,7:56 PM,9:53 PM,1h 57m,$56.00,Amtrak Northeast Regional,10-24-2019,Philadelphia,DC
0,7:15 PM,9:15 PM,2h 0m,$56.00,Amtrak Northeast Regional,10-24-2019,Philadelphia,DC
0,8:54 AM,10:48 AM,1h 54m,$62.00,Amtrak Carolinian,10-24-2019,Philadelphia,DC
0,8:35 AM,10:32 AM,1h 57m,$56.00,Amtrak Northeast Regional,10-24-2019,Philadelphia,DC
0,12:02 PM,1:58 PM,1h 56m,$56.00,Amtrak Northeast Regional,10-24-2019,Philadelphia,DC
0,11:17 AM,1:19 PM,2h 2m,$56.00,Amtrak Northeast Regional,10-24-2019,Philadelphia,DC
0,3:55 PM,5:56 PM,2h 1m,$79.00,Amtrak Crescent,10-24-2019,Philadelphia,DC
