,time,duration,price,date,origination,destination
0,   5:01 AM   –   9:59 AM   ,4h 58m,      $259   ,10-27-2019,DC,Philadelphia
0,   9:21 AM   –   10:14 AM   ,53m,      $390   ,10-27-2019,DC,Philadelphia
0,   2:53 PM   –   3:47 PM   ,54m,      $390   ,10-27-2019,DC,Philadelphia
0,   7:00 AM   –   11:42 PM   ,16h 42m,   $237   ,10-27-2019,DC,Philadelphia
0,   7:00 AM   –   11:15 AM   ,4h 15m,      $295   ,10-27-2019,DC,Philadelphia
0,   8:30 AM   –   1:33 PM   ,5h 3m,      $295   ,10-27-2019,DC,Philadelphia
0,   11:45 AM   –   4:32 PM   ,4h 47m,      $295   ,10-27-2019,DC,Philadelphia
0,   12:45 PM   –   5:32 PM   ,4h 47m,      $295   ,10-27-2019,DC,Philadelphia
0,   2:45 PM   –   7:31 PM   ,4h 46m,      $295   ,10-27-2019,DC,Philadelphia
0,   4:15 PM   –   9:28 PM   ,5h 13m,      $295   ,10-27-2019,DC,Philadelphia
0,   5:30 PM   –   10:42 PM   ,5h 12m,      $295   ,10-27-2019,DC,Philadelphia
0,   6:45 PM   –   11:33 PM   ,4h 48m,      $295   ,10-27-2019,DC,Philadelphia
0,   6:05 AM   –   12:26 PM   ,6h 21m,   $301   ,10-27-2019,DC,Philadelphia
0,   8:00 AM   –   2:23 PM   ,6h 23m,      $321   ,10-27-2019,DC,Philadelphia
0,   5:06 PM   –   12:31 AM+1   ,7h 25m,      $334   ,10-27-2019,DC,Philadelphia
0,   6:10 PM   –   7:09 PM   ,59m,      $390   ,10-27-2019,DC,Philadelphia
0,   7:11 PM   –   8:10 PM   ,59m,      $390   ,10-27-2019,DC,Philadelphia
0,   8:00 AM   –   9:05 AM   ,1h 5m,      $408   ,10-27-2019,DC,Philadelphia
0,   3:13 PM   –   4:25 PM   ,1h 12m,      $408   ,10-27-2019,DC,Philadelphia
0,   7:10 PM   –   8:14 PM   ,1h 4m,      $408   ,10-27-2019,DC,Philadelphia
