,time,duration,price,date,origination,destination
0,   9:04 PM   –   10:42 AM+1   ,13h 38m,   $183   ,11-03-2019,DC,Philadelphia
0,   5:01 AM   –   9:59 AM   ,4h 58m,      $196   ,11-03-2019,DC,Philadelphia
0,   7:15 PM   –   11:33 PM   ,4h 18m,      $245   ,11-03-2019,DC,Philadelphia
0,   7:13 PM   –   8:06 PM   ,53m,      $390   ,11-03-2019,DC,Philadelphia
0,   7:38 AM   –   2:10 PM   ,6h 32m,      $236   ,11-03-2019,DC,Philadelphia
0,   6:30 AM   –   11:15 AM   ,4h 45m,      $245   ,11-03-2019,DC,Philadelphia
0,   8:30 AM   –   1:33 PM   ,5h 3m,      $245   ,11-03-2019,DC,Philadelphia
0,   11:45 AM   –   4:32 PM   ,4h 47m,      $245   ,11-03-2019,DC,Philadelphia
0,   12:45 PM   –   5:32 PM   ,4h 47m,      $245   ,11-03-2019,DC,Philadelphia
0,   4:20 PM   –   9:28 PM   ,5h 8m,      $245   ,11-03-2019,DC,Philadelphia
0,   5:30 PM   –   10:42 PM   ,5h 12m,      $245   ,11-03-2019,DC,Philadelphia
0,   7:38 AM   –   12:44 PM   ,5h 6m,      $256   ,11-03-2019,DC,Philadelphia
0,   9:05 AM   –   2:10 PM   ,5h 5m,      $256   ,11-03-2019,DC,Philadelphia
0,   9:05 AM   –   12:44 PM   ,3h 39m,      $276   ,11-03-2019,DC,Philadelphia
0,   12:59 PM   –   5:50 PM   ,4h 51m,      $277   ,11-03-2019,DC,Philadelphia
