,Unnamed: 0,Unnamed: 0.1,date,destination,duration,origination,price,time
42,9,0.0,10-20-2019,Philadelphia,4h 48m,NYC,      $471   ,   6:30 PM   –   11:18 PM   
43,0,0.0,10-31-2019,NYC,1h 7m,Philadelphia,      $170   ,   10:50 AM   –   11:57 AM   
44,1,0.0,10-31-2019,NYC,1h 6m,Philadelphia,      $170   ,   3:10 PM   –   4:16 PM   
45,2,0.0,10-31-2019,NYC,1h 4m,Philadelphia,      $170   ,   5:10 PM   –   6:14 PM   
46,3,0.0,10-31-2019,NYC,1h 6m,Philadelphia,      $170   ,   8:58 PM   –   10:04 PM   
47,4,0.0,10-31-2019,NYC,9h 14m,Philadelphia,   $137   ,   8:00 AM   –   5:14 PM   
48,5,0.0,10-31-2019,NYC,6h 40m,Philadelphia,   $137   ,   4:27 PM   –   11:07 PM   
49,6,0.0,10-31-2019,NYC,9h 52m,Philadelphia,      $143   ,   6:43 AM   –   4:35 PM   
50,7,0.0,10-31-2019,NYC,4h 22m,Philadelphia,      $145   ,   5:00 AM   –   9:22 AM   
51,8,0.0,10-31-2019,NYC,4h 45m,Philadelphia,      $145   ,   6:35 AM   –   11:20 AM   
52,9,0.0,10-31-2019,NYC,7h 8m,Philadelphia,   $151   ,   8:48 AM   –   3:56 PM   
53,10,0.0,10-31-2019,NYC,3h 12m,Philadelphia,      $178   ,   6:43 AM   –   9:55 AM   
54,11,0.0,10-31-2019,NYC,3h 39m,Philadelphia,      $178   ,   7:44 AM   –   11:23 AM   
55,12,0.0,10-31-2019,NYC,9h 50m,Philadelphia,      $183   ,   6:00 AM   –   3:50 PM   
56,13,0.0,10-31-2019,NYC,3h 24m,Philadelphia,      $190   ,   10:34 AM   –   1:58 PM   
57,0,0.0,10-27-2019,Philadelphia,18h 27m,NYC,   $159   ,   6:30 PM   –   12:57 PM+1   
58,1,0.0,10-27-2019,Philadelphia,1h 4m,NYC,      $230   ,   6:00 AM   –   7:04 AM   
59,2,0.0,10-27-2019,Philadelphia,1h 12m,NYC,      $230   ,   1:00 PM   –   2:12 PM   
60,3,0.0,10-27-2019,Philadelphia,1h 18m,NYC,      $230   ,   3:15 PM   –   4:33 PM   
61,4,0.0,10-27-2019,Philadelphia,14h 40m,NYC,      $260   ,   9:00 PM   –   11:40 AM+1   
62,5,0.0,10-27-2019,Philadelphia,8h 17m,NYC,   $269   ,   3:25 PM   –   11:42 PM   
63,6,0.0,10-27-2019,Philadelphia,5h 34m,NYC,      $313   ,   4:00 PM   –   9:34 PM   
64,7,0.0,10-27-2019,Philadelphia,3h 14m,NYC,      $378   ,   5:00 PM   –   8:14 PM   
65,8,0.0,10-27-2019,Philadelphia,3h 40m,NYC,      $418   ,   3:36 PM   –   7:16 PM   
0,0,,10-27-2019,Philadelphia,18h 27m,NYC,   $159   ,   6:30 PM   –   12:57 PM+1   
1,0,,10-27-2019,Philadelphia,1h 4m,NYC,      $230   ,   6:00 AM   –   7:04 AM   
2,0,,10-27-2019,Philadelphia,1h 12m,NYC,      $230   ,   1:00 PM   –   2:12 PM   
3,0,,10-27-2019,Philadelphia,1h 18m,NYC,      $230   ,   3:15 PM   –   4:33 PM   
4,0,,10-27-2019,Philadelphia,14h 40m,NYC,      $260   ,   9:00 PM   –   11:40 AM+1   
5,0,,10-27-2019,Philadelphia,8h 17m,NYC,   $269   ,   3:25 PM   –   11:42 PM   
6,0,,10-27-2019,Philadelphia,5h 34m,NYC,      $313   ,   4:00 PM   –   9:34 PM   
7,0,,10-27-2019,Philadelphia,3h 14m,NYC,      $378   ,   5:00 PM   –   8:14 PM   
8,0,,10-27-2019,Philadelphia,3h 40m,NYC,      $418   ,   3:36 PM   –   7:16 PM   
