,depart,arrive,duration,price,carrier,date,origination,destination
0,8:45 AM,10:45 AM,2h 0m,$14.00,BoltBus,11-03-2019,NYC,Philadelphia
0,2:00 AM,4:15 AM,2h 15m,$5.00,Megabus,11-03-2019,NYC,Philadelphia
0,4:00 PM,5:50 PM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,10:00 AM,11:50 AM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,9:09 AM,10:35 AM,1h 26m,$49.00,Amtrak Keystone Service,11-03-2019,NYC,Philadelphia
0,8:30 AM,10:20 AM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,2:35 PM,4:15 PM,1h 40m,$15.00,Megabus,11-03-2019,NYC,Philadelphia
0,12:01 PM,1:50 PM,1h 49m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,11:00 AM,12:50 PM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,8:05 AM,9:33 AM,1h 28m,$49.00,Amtrak Northeast Regional,11-03-2019,NYC,Philadelphia
0,3:00 PM,4:50 PM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,12:01 PM,2:00 PM,1h 59m,$11.00,Greyhound,11-03-2019,NYC,Philadelphia
0,7:30 AM,9:20 AM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,1:30 PM,3:20 PM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,3:00 AM,4:27 AM,1h 27m,$49.00,Amtrak Northeast Regional,11-03-2019,NYC,Philadelphia
0,2:30 PM,4:20 PM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,8:00 AM,10:00 AM,2h 0m,$12.00,Greyhound,11-03-2019,NYC,Philadelphia
0,6:30 AM,8:20 AM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,4:30 PM,6:20 PM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,6:45 AM,8:07 AM,1h 22m,$49.00,Amtrak Cardinal,11-03-2019,NYC,Philadelphia
0,5:30 PM,7:20 PM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,10:00 AM,11:59 AM,1h 59m,$11.00,Greyhound,11-03-2019,NYC,Philadelphia
0,7:30 PM,9:20 PM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,6:30 PM,8:20 PM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,7:00 AM,8:20 AM,1h 20m,$49.00,Amtrak Keystone Service,11-03-2019,NYC,Philadelphia
0,6:00 PM,7:50 PM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,8:45 PM,10:45 PM,2h 0m,$14.00,BoltBus,11-03-2019,NYC,Philadelphia
0,8:00 PM,9:50 PM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,1:00 PM,3:10 PM,2h 10m,$12.00,Greyhound,11-03-2019,NYC,Philadelphia
0,1:05 PM,2:26 PM,1h 21m,$49.00,Amtrak Keystone Service,11-03-2019,NYC,Philadelphia
0,5:00 PM,6:50 PM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,3:00 PM,5:00 PM,2h 0m,$11.00,Greyhound,11-03-2019,NYC,Philadelphia
0,9:15 AM,11:15 AM,2h 0m,$12.00,BoltBus,11-03-2019,NYC,Philadelphia
0,4:15 PM,6:15 PM,2h 0m,$14.00,BoltBus,11-03-2019,NYC,Philadelphia
0,4:05 PM,5:32 PM,1h 27m,$61.00,Amtrak Northeast Regional,11-03-2019,NYC,Philadelphia
0,5:00 PM,7:10 PM,2h 10m,$12.00,Greyhound,11-03-2019,NYC,Philadelphia
0,3:45 PM,5:45 PM,2h 0m,$12.00,BoltBus,11-03-2019,NYC,Philadelphia
0,2:00 PM,4:00 PM,2h 0m,$11.00,Greyhound,11-03-2019,NYC,Philadelphia
0,2:45 AM,4:50 AM,2h 5m,$11.00,Greyhound,11-03-2019,NYC,Philadelphia
0,5:51 AM,7:29 AM,1h 38m,$49.00,Amtrak Palmetto,11-03-2019,NYC,Philadelphia
0,4:00 PM,6:10 PM,2h 10m,$11.00,Greyhound,11-03-2019,NYC,Philadelphia
0,9:30 PM,11:20 PM,1h 50m,$10.00,Peter Pan Lines,11-03-2019,NYC,Philadelphia
0,7:00 PM,9:00 PM,2h 0m,$12.00,Greyhound,11-03-2019,NYC,Philadelphia
0,6:00 PM,8:00 PM,2h 0m,$12.00,Greyhound,11-03-2019,NYC,Philadelphia
0,10:05 PM,11:33 PM,1h 28m,$49.00,Amtrak Northeast Regional,11-03-2019,NYC,Philadelphia
0,11:00 AM,1:10 PM,2h 10m,$11.00,Greyhound,11-03-2019,NYC,Philadelphia
0,12:15 PM,2:15 PM,2h 0m,$12.00,BoltBus,11-03-2019,NYC,Philadelphia
0,9:00 AM,11:10 AM,2h 10m,$11.00,Greyhound,11-03-2019,NYC,Philadelphia
0,12:45 PM,2:45 PM,2h 0m,$12.00,BoltBus,11-03-2019,NYC,Philadelphia
0,9:10 PM,10:42 PM,1h 32m,$49.00,Amtrak Northeast Regional,11-03-2019,NYC,Philadelphia
0,11:45 AM,1:45 PM,2h 0m,$12.00,BoltBus,11-03-2019,NYC,Philadelphia
0,6:45 AM,8:55 AM,2h 10m,$11.00,Greyhound,11-03-2019,NYC,Philadelphia
0,11:20 AM,1:25 PM,2h 5m,$15.00,Megabus,11-03-2019,NYC,Philadelphia
0,2:35 PM,4:25 PM,1h 50m,$15.00,Megabus,11-03-2019,NYC,Philadelphia
0,10:52 AM,12:15 PM,1h 23m,$61.00,Amtrak Pennsylvanian,11-03-2019,NYC,Philadelphia
0,10:45 AM,12:45 PM,2h 0m,$12.00,BoltBus,11-03-2019,NYC,Philadelphia
0,10:15 AM,12:15 PM,2h 0m,$12.00,BoltBus,11-03-2019,NYC,Philadelphia
0,7:15 AM,9:15 AM,2h 0m,$12.00,BoltBus,11-03-2019,NYC,Philadelphia
0,3:05 PM,5:00 PM,1h 55m,$15.00,Megabus,11-03-2019,NYC,Philadelphia
0,7:53 PM,9:15 PM,1h 22m,$61.00,Amtrak Keystone Service,11-03-2019,NYC,Philadelphia
0,4:45 PM,6:45 PM,2h 0m,$12.00,BoltBus,11-03-2019,NYC,Philadelphia
0,1:15 PM,3:15 PM,2h 0m,$12.00,BoltBus,11-03-2019,NYC,Philadelphia
0,9:10 AM,11:20 AM,2h 10m,$11.00,Megabus,11-03-2019,NYC,Philadelphia
0,2:45 PM,4:45 PM,2h 0m,$12.00,BoltBus,11-03-2019,NYC,Philadelphia
0,3:13 PM,4:38 PM,1h 25m,$61.00,Amtrak Keystone Service,11-03-2019,NYC,Philadelphia
0,1:45 PM,3:45 PM,2h 0m,$12.00,BoltBus,11-03-2019,NYC,Philadelphia
0,4:05 PM,6:10 PM,2h 5m,$15.00,Megabus,11-03-2019,NYC,Philadelphia
0,12:00 AM,1:15 AM,2h 15m,$11.00,Megabus,11-03-2019,NYC,Philadelphia
0,9:10 AM,11:10 AM,2h 0m,$11.00,Megabus,11-03-2019,NYC,Philadelphia
0,12:55 PM,2:19 PM,1h 24m,$80.00,Amtrak Northeast Regional,11-03-2019,NYC,Philadelphia
0,6:45 PM,8:45 PM,2h 0m,$12.00,BoltBus,11-03-2019,NYC,Philadelphia
0,5:45 PM,7:45 PM,2h 0m,$14.00,BoltBus,11-03-2019,NYC,Philadelphia
0,3:05 PM,4:50 PM,1h 45m,$15.00,Megabus,11-03-2019,NYC,Philadelphia
0,6:55 AM,9:05 AM,2h 10m,$11.00,Megabus,11-03-2019,NYC,Philadelphia
0,9:05 AM,10:31 AM,1h 26m,$80.00,Amtrak Northeast Regional,11-03-2019,NYC,Philadelphia
0,11:20 AM,1:15 PM,1h 55m,$15.00,Megabus,11-03-2019,NYC,Philadelphia
0,7:15 PM,9:15 PM,2h 0m,$14.00,BoltBus,11-03-2019,NYC,Philadelphia
