,time,duration,price,date,origination,destination
0,   8:48 AM   –   3:56 PM   ,7h 8m,   $143   ,10-24-2019,Philadelphia,NYC
0,   10:50 AM   –   11:57 AM   ,1h 7m,      $260   ,10-24-2019,Philadelphia,NYC
0,   3:10 PM   –   4:16 PM   ,1h 6m,      $260   ,10-24-2019,Philadelphia,NYC
0,   5:10 PM   –   6:14 PM   ,1h 4m,      $260   ,10-24-2019,Philadelphia,NYC
0,   8:58 PM   –   10:04 PM   ,1h 6m,      $260   ,10-24-2019,Philadelphia,NYC
0,   6:30 AM   –   2:18 PM   ,7h 48m,   $185   ,10-24-2019,Philadelphia,NYC
0,   6:30 AM   –   2:17 PM   ,7h 47m,   $197   ,10-24-2019,Philadelphia,NYC
0,   6:43 AM   –   3:30 PM   ,8h 47m,      $211   ,10-24-2019,Philadelphia,NYC
0,   6:00 AM   –   4:53 PM   ,10h 53m,      $230   ,10-24-2019,Philadelphia,NYC
0,   6:43 AM   –   9:55 AM   ,3h 12m,      $268   ,10-24-2019,Philadelphia,NYC
0,   7:44 AM   –   11:23 AM   ,3h 39m,      $268   ,10-24-2019,Philadelphia,NYC
0,   7:00 AM   –   10:50 AM   ,3h 50m,      $321   ,10-24-2019,Philadelphia,NYC
0,   6:05 AM   –   10:25 AM   ,4h 20m,      $418   ,10-24-2019,Philadelphia,NYC
