,time,duration,price,date,origination,destination
0,   6:30 PM   –   12:57 PM+1   ,18h 27m,   $159   ,10-27-2019,NYC,Philadelphia
0,   6:00 AM   –   7:04 AM   ,1h 4m,      $230   ,10-27-2019,NYC,Philadelphia
0,   1:00 PM   –   2:12 PM   ,1h 12m,      $230   ,10-27-2019,NYC,Philadelphia
0,   3:15 PM   –   4:33 PM   ,1h 18m,      $230   ,10-27-2019,NYC,Philadelphia
0,   9:00 PM   –   11:40 AM+1   ,14h 40m,      $260   ,10-27-2019,NYC,Philadelphia
0,   3:25 PM   –   11:42 PM   ,8h 17m,   $269   ,10-27-2019,NYC,Philadelphia
0,   4:00 PM   –   9:34 PM   ,5h 34m,      $313   ,10-27-2019,NYC,Philadelphia
0,   5:00 PM   –   8:14 PM   ,3h 14m,      $378   ,10-27-2019,NYC,Philadelphia
0,   3:36 PM   –   7:16 PM   ,3h 40m,      $418   ,10-27-2019,NYC,Philadelphia
