,time,duration,price,date,origination,destination
0,   10:50 AM   –   11:57 AM   ,1h 7m,      $305   ,10-17-2019,Philadelphia,NYC
0,   3:10 PM   –   4:16 PM   ,1h 6m,      $305   ,10-17-2019,Philadelphia,NYC
0,   5:10 PM   –   6:14 PM   ,1h 4m,      $305   ,10-17-2019,Philadelphia,NYC
0,   8:58 PM   –   10:04 PM   ,1h 6m,      $305   ,10-17-2019,Philadelphia,NYC
0,   6:43 AM   –   9:55 AM   ,3h 12m,      $313   ,10-17-2019,Philadelphia,NYC
0,   7:44 AM   –   11:23 AM   ,3h 39m,      $313   ,10-17-2019,Philadelphia,NYC
0,   5:46 PM   –   9:18 PM   ,3h 32m,      $313   ,10-17-2019,Philadelphia,NYC
0,   4:27 PM   –   8:51 AM+1   ,16h 24m,   $352   ,10-17-2019,Philadelphia,NYC
0,   6:00 AM   –   12:14 PM   ,6h 14m,      $410   ,10-17-2019,Philadelphia,NYC
0,   6:00 AM   –   10:24 AM   ,4h 24m,      $499   ,10-17-2019,Philadelphia,NYC
