,time,duration,price,date,origination,destination
0,   6:00 AM   –   7:04 AM   ,1h 4m,      $305   ,10-20-2019,NYC,Philadelphia
0,   1:00 PM   –   2:12 PM   ,1h 12m,      $305   ,10-20-2019,NYC,Philadelphia
0,   3:15 PM   –   4:33 PM   ,1h 18m,      $305   ,10-20-2019,NYC,Philadelphia
0,   6:30 PM   –   12:57 PM+1   ,18h 27m,   $307   ,10-20-2019,NYC,Philadelphia
0,   5:00 PM   –   8:14 PM   ,3h 14m,      $378   ,10-20-2019,NYC,Philadelphia
0,   9:31 PM   –   1:11 PM+1   ,15h 40m,      $405   ,10-20-2019,NYC,Philadelphia
0,   6:00 AM   –   10:18 AM   ,4h 18m,      $462   ,10-20-2019,NYC,Philadelphia
0,   7:35 AM   –   12:11 PM   ,4h 36m,      $462   ,10-20-2019,NYC,Philadelphia
0,   5:10 PM   –   10:11 PM   ,5h 1m,      $462   ,10-20-2019,NYC,Philadelphia
0,   6:30 PM   –   11:18 PM   ,4h 48m,      $471   ,10-20-2019,NYC,Philadelphia
